Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     7521     0.00     0.00  bool __gnu_cxx::__ops::_Val_comp_iter<bool (*)(std::vector<int, std::allocator<int> > const&, std::vector<int, std::allocator<int> > const&)>::operator()<std::vector<int, std::allocator<int> >, __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > >(std::vector<int, std::allocator<int> >&, __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >)
  0.00      0.00     0.00     7406     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::_Vector_base<int, std::allocator<int> >::_Vector_impl&&)
  0.00      0.00     0.00     7406     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data(std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data&&)
  0.00      0.00     0.00     7406     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(std::_Vector_base<int, std::allocator<int> >&&)
  0.00      0.00     0.00     7406     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> >&&)
  0.00      0.00     0.00     7342     0.00     0.00  __gnu_cxx::__ops::_Val_comp_iter<bool (*)(std::vector<int, std::allocator<int> > const&, std::vector<int, std::allocator<int> > const&)>::_Val_comp_iter(__gnu_cxx::__ops::_Iter_comp_iter<bool (*)(std::vector<int, std::allocator<int> > const&, std::vector<int, std::allocator<int> > const&)>&&)
  0.00      0.00     0.00     7342     0.00     0.00  __gnu_cxx::__ops::_Val_comp_iter<bool (*)(std::vector<int, std::allocator<int> > const&, std::vector<int, std::allocator<int> > const&)> __gnu_cxx::__ops::__val_comp_iter<bool (*)(std::vector<int, std::allocator<int> > const&, std::vector<int, std::allocator<int> > const&)>(__gnu_cxx::__ops::_Iter_comp_iter<bool (*)(std::vector<int, std::allocator<int> > const&, std::vector<int, std::allocator<int> > const&)>)
  0.00      0.00     0.00     7342     0.00     0.00  void std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >, __gnu_cxx::__ops::_Val_comp_iter<bool (*)(std::vector<int, std::allocator<int> > const&, std::vector<int, std::allocator<int> > const&)> >(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >, __gnu_cxx::__ops::_Val_comp_iter<bool (*)(std::vector<int, std::allocator<int> > const&, std::vector<int, std::allocator<int> > const&)>)
  0.00      0.00     0.00     7342     0.00     0.00  std::remove_reference<__gnu_cxx::__ops::_Iter_comp_iter<bool (*)(std::vector<int, std::allocator<int> > const&, std::vector<int, std::allocator<int> > const&)>&>::type&& std::move<__gnu_cxx::__ops::_Iter_comp_iter<bool (*)(std::vector<int, std::allocator<int> > const&, std::vector<int, std::allocator<int> > const&)>&>(__gnu_cxx::__ops::_Iter_comp_iter<bool (*)(std::vector<int, std::allocator<int> > const&, std::vector<int, std::allocator<int> > const&)>&)
  0.00      0.00     0.00     5100     0.00     0.00  AStarSearchAlgorithm::State* std::__niter_base<AStarSearchAlgorithm::State*>(AStarSearchAlgorithm::State*)
  0.00      0.00     0.00     5097     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<int>, int>::_S_on_swap(std::allocator<int>&, std::allocator<int>&)
  0.00      0.00     0.00     5097     0.00     0.00  bool __gnu_cxx::operator< <std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > const&, __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > const&)
  0.00      0.00     0.00     5097     0.00     0.00  std::vector<int, std::allocator<int> >::swap(std::vector<int, std::allocator<int> >&)
  0.00      0.00     0.00     5097     0.00     0.00  void std::__alloc_on_swap<std::allocator<int> >(std::allocator<int>&, std::allocator<int>&)
  0.00      0.00     0.00     5097     0.00     0.00  void std::__do_alloc_on_swap<std::allocator<int> >(std::allocator<int>&, std::allocator<int>&, std::integral_constant<bool, false>)
  0.00      0.00     0.00     5097     0.00     0.00  void std::swap<int, std::allocator<int> >(std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&)
  0.00      0.00     0.00     5097     0.00     0.00  void std::iter_swap<__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >, __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > >(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >, __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >)
  0.00      0.00     0.00     3577     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::__normal_iterator(std::vector<int, std::allocator<int> >* const&)
  0.00      0.00     0.00     3200     0.00     0.00  __gnu_cxx::__normal_iterator<AStarSearchAlgorithm::State*, std::vector<AStarSearchAlgorithm::State, std::allocator<AStarSearchAlgorithm::State> > >::base() const
  0.00      0.00     0.00     2700     0.00     0.00  __gnu_cxx::new_allocator<AStarSearchAlgorithm::State>::max_size() const
  0.00      0.00     0.00     2680     0.00     0.00  std::vector<std::vector<AStarSearchAlgorithm::State, std::allocator<AStarSearchAlgorithm::State> >, std::allocator<std::vector<AStarSearchAlgorithm::State, std::allocator<AStarSearchAlgorithm::State> > > >::operator[](unsigned long)
  0.00      0.00     0.00     2427     0.00     0.00  std::_Vector_base<AStarSearchAlgorithm::State, std::allocator<AStarSearchAlgorithm::State> >::_M_get_Tp_allocator()
